번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,nearest_site_name,bell
1040,세일GAT솔라태양광#1,4.386,경기,경기 이천시 초지리,37.2219,127.49732,이천,True
2642,월곶2차태양광,0.74052,경기,경기 시흥시 월곶동,37.388893,126.74239,장수,True
7018,고래태양광,0.0972799999999999,경기,경기 안산시 단원구,37.321148,126.81532,장수,False
28342,삼이일태양광발전소,0.09832,경기,경기 여주시 점동면,37.206066,127.662544,이천,False
38934,아리랑태양광발전소 주식회사,1.99584,경기,경기 여주시 대신면,37.375042,127.58656,이천,True
58746,진에너지태양광,0.099,경기,경기 포천시 영북면,38.089134,127.27552,철원,False
4695,주영태양광PV,0.2339099999999999,경기,경기 안산시 단원구,37.321148,126.81532,장수,False
33872,노곡리1호 태양광발전소,1.998,경기,경기 연천군 백학면,38.029713,126.91797,동두천,True
18008,동두천드림태양광,1.591,경기,경기 동두천시 광암동,37.905617,127.10015,동두천,True
1112,대륜발전3호태양광,0.564,경기,경기 양주시 화합로,37.85678,127.030846,동두천,True
55981,다인햇빛발전소,0.4930199999999999,경기,경기 여주시 대신면,37.375042,127.58656,이천,False
66869,한온시스템 평택공장 태양광 발전소,1.15344,경기,경기도 평택시 포승읍,36.98282,126.885315,천안,True
72737,희망빛단장범도 제1발전기,0.99864,경남,경남 밀양시 단장면,35.515266,128.87598,밀양,True
17644,도천솔라창녕태양광,0.7929999999999999,경남,경남 창녕군 도천면,36.96388083,127.9429039,충주,True
150,다모아태양광,1.87488,경남,경남 의령군 대의면,35.37191,128.10828,의령군,True
20578,마이솔에너지,0.49896,경남,경남 하동군 진교면,35.030476,127.90091,남해,True
55982,대곡태양광발전소,0.2976,경남,경남 하동군 옥종면,35.18293,127.87954,진주,False
